地区,地区コード（可燃）,地区コード（資源）,地区コード（大型）
寺迫1丁目,1,101,201
寺迫2丁目,2,101,201
稲葉,2,101,201
東1丁目,2,101,201
東2丁目,2,101,201
"東1丁目（3,7,8番付近）",2,102,201
三迫1丁目,1,102,201
三迫2丁目,1,102,201
三迫3丁目,1,102,201
蟹原1丁目,1,103,202
蟹原2丁目,1,103,202
幸町,1,103,202
西浜,2,104,202
大立町,2,104,202
国信1丁目,2,105,203
国信2丁目,2,105,203
砂走,1,105,203
曽田,2,105,203
中店,2,106,203
上市,2,106,203
市頭,1,106,203
県営東海田（石原）,1,106,203
新町,2,107,204
稲荷町,2,107,204
成本,1,108,204
石原,1,108,204
畝1丁目（山畝）,1,108,204
浜角,1,109,205
あさひ団地,1,109,205
明飛川付近,1,109,205
三迫1丁目（27付近・ひまわりタウン）,1,109,205
窪町,2,110,205
つくも町,2,110,205
南つくも町,2,110,205
明神町,2,110,205
南明神町,2,110,205
堀川町,2,111,206
大正町,2,111,206
昭和町,2,111,206
南堀川町,2,112,206
栄町,2,112,206
南大正町,2,112,206
曙町,1,113,207
南昭和町,1,113,207
昭和中町,1,114,207
日の出町,1,114,207
畝1丁目（山畝以外）,1,114,207
畝2丁目,1,114,207
南幸町,1,115,208
月見町（月見県営以外）,1,115,208
月見町（月見県営）,2,115,208
東昭和町,1,116,208
南本町,1,116,208
